"Commande_key","Code_commande","Statut_commande","Mode_paiement","Methode_livraison","Frais_livraison","Remise_panier","Montant_total"
298,"13728","Terminée","Pay in Person","Livraison à domicile","8","0","8"
300,"13727","Terminée","Pay in Person","Livraison à domicile","8","0","7,9"
302,"13726","Terminée","Wallet payment","Livraison à domicile","8","0","98"
303,"13724","Terminée","Pay in Person","Livraison à domicile","8","0","108"
304,"13723","Terminée","Pay in Person","Livraison à domicile","8","0","108"
305,"13722","Terminée","Pay in Person","Livraison à domicile","8","0","13"
307,"13721","Terminée","Pay in Person","Livraison à domicile","0","0","155"
310,"13710","Terminée","Pay in Person","Livraison à domicile","8","0","8"
311,"13630","Terminée","Pay in Person","Livraison à domicile","8","0","16"
313,"13709","Terminée","Pay in Person","Livraison à domicile","8","0","13"
315,"13708","Terminée","Pay in Person","Livraison à domicile","8","0","12"
318,"13707","Terminée","Wallet payment","Livraison à domicile","8","0","82,9"
320,"13706","Terminée","Pay in Person","Livraison à domicile","8","0","3"
322,"13703","Terminée","Wallet payment","Expédition","8","0","107,8"
323,"13701","Terminée","Pay in Person","Livraison à domicile","8","0","103"
325,"13700","Terminée","Pay in Person","Livraison à domicile","8","0","8"
328,"13699","Terminée","Pay in Person","Livraison à domicile","8","0","18"
330,"13697","Terminée","Pay in Person","Livraison à domicile","0","0","119"
331,"13696","En attente","Pay in Person","Livraison à domicile","8","0","8"
332,"13695","Terminée","Pay in Person","Livraison à domicile","8","0","83"
334,"13693","Terminée","Pay in Person","Livraison à domicile","8","0","1"
335,"13692","Terminée","Pay in Person","Livraison à domicile","0","0","150"
336,"13691","Terminée","Non renseigné","Livraison à domicile","8","0","0"
337,"13689","Terminée","Pay in Person","Livraison à domicile","8","0","57,9"
338,"13688","Terminée","Non renseigné","Livraison à domicile","8","0","0"
339,"13687","Terminée","Pay in Person","Livraison à domicile","8","0","7"
342,"13686","Terminée","Wallet payment","Livraison à domicile","8","0","94"
345,"13685","Terminée","Pay in Person","Livraison à domicile","8","0","2,9"
347,"13684","Terminée","Pay in Person","Livraison à domicile","8","0","3"
350,"13683","Terminée","Wallet payment","Livraison à domicile","8","0","98"
352,"13682","Terminée","Pay in Person","Livraison à domicile","8","0","7"
355,"13681","Terminée","Wallet payment","Livraison à domicile","8","0","98"
356,"13680","Terminée","Wallet payment","Livraison à domicile","8","0","98"
357,"13679","Terminée","Wallet payment","Livraison à domicile","8","0","92"
358,"13677","Terminée","Pay in Person","Livraison à domicile","8","0","86"
360,"13675","Terminée","Pay in Person","Livraison à domicile","8","0","42"
362,"13672","Terminée","Pay in Person","Livraison à domicile","8","0","2,9"
364,"13671","Terminée","Pay in Person","Livraison à domicile","8","0","23"
366,"13670","Terminée","Pay in Person","Livraison à domicile","8","0","8"
367,"13669","Terminée","Wallet payment","Livraison à domicile","8","0","99"
369,"13666","Terminée","Pay in Person","Livraison à domicile","8","0","11"
371,"13665","Terminée","Pay in Person","Livraison à domicile","8","0","8"
373,"13664","Terminée","Pay in Person","Livraison à domicile","8","0","42"
375,"13663","Terminée","Wallet payment","Livraison à domicile","8","0","94"
376,"13662","Terminée","Pay in Person","Livraison à domicile","8","0","1"
378,"13661","Terminée","Wallet payment","Livraison à domicile","8","0","92"
379,"13660","Terminée","Wallet payment","Livraison à domicile","8","0","98"
380,"13659","Terminée","Wallet payment","Livraison à domicile","8","0","73"
381,"13658","Terminée","Pay in Person","Livraison à domicile","8","0","38"
382,"13657","Terminée","Pay in Person","Livraison à domicile","8","0","108"
383,"13646","Terminée","Wallet payment","Livraison à domicile","8","0","94"
384,"13643","Terminée","Pay in Person","Livraison à domicile","8","0","3"
387,"13641","Terminée","Pay in Person","Livraison à domicile","8","0","38"
388,"13640","Terminée","Pay in Person","Livraison à domicile","8","0","3"
390,"13639","Terminée","Pay in Person","Livraison à domicile","8","0","38"
391,"13638","Terminée","Pay in Person","Livraison à domicile","8","0","22"
398,"13629","Terminée","Wallet payment","Livraison à domicile","8","0","98"
399,"13578","Terminée","Pay in Person","Livraison à domicile","8","0","6,9"
402,"13577","Terminée","Pay in Person","Livraison à domicile","8","0","3"
404,"13576","Terminée","Pay in Person","Livraison à domicile","8","0","28"
405,"13575","Terminée","Pay in Person","Livraison à domicile","8","0","3"
407,"13573","Terminée","Pay in Person","Livraison à domicile","8","0","103"
409,"13571","Terminée","Pay in Person","Livraison à domicile","8","0","8"
411,"13569","Terminée","Pay in Person","Livraison à domicile","8","0","58"
412,"13568","Terminée","Pay in Person","Livraison à domicile","8","0","107,9"
